ward_no,distance,units,pct,polling_place_name,voter_count
1,0-5 min.,0,0,Firehouse Station 38,1447
1,5-10 min.,421,24.77928193054738,Firehouse Station 38,1447
1,10-15 min.,77,4.532077692760447,Firehouse Station 38,1447
1,15+ min.,1201,70.68864037669216,Firehouse Station 38,1447
2,0-5 min.,0,0,Greater Holy Temple Christian Academy,519
2,5-10 min.,576,86.74698795180723,Greater Holy Temple Christian Academy,519
2,10-15 min.,88,13.253012048192772,Greater Holy Temple Christian Academy,519
2,15+ min.,0,0,Greater Holy Temple Christian Academy,519
3,0-5 min.,0,0,Greater Holy Temple Christian Academy,972
3,5-10 min.,0,0,Greater Holy Temple Christian Academy,972
3,10-15 min.,0,0,Greater Holy Temple Christian Academy,972
3,15+ min.,776,100,Greater Holy Temple Christian Academy,972
4,0-5 min.,0,0,Spirit Life Church,1622
4,5-10 min.,397,21.933701657458563,Spirit Life Church,1622
4,10-15 min.,667,36.85082872928177,Spirit Life Church,1622
4,15+ min.,746,41.21546961325967,Spirit Life Church,1622
5,0-5 min.,0,0,Greater Holy Temple Christian Academy,848
5,5-10 min.,0,0,Greater Holy Temple Christian Academy,848
5,10-15 min.,0,0,Greater Holy Temple Christian Academy,848
5,15+ min.,922,100,Greater Holy Temple Christian Academy,848
6,0-5 min.,43,5.162064825930372,Goodrich School,1311
6,5-10 min.,237,28.45138055222089,Goodrich School,1311
6,10-15 min.,469,56.30252100840336,Goodrich School,1311
6,15+ min.,84,10.084033613445378,Goodrich School,1311
7,0-5 min.,30,5.2356020942408374,Goodrich School,651
7,5-10 min.,275,47.99301919720768,Goodrich School,651
7,10-15 min.,166,28.970331588132638,Goodrich School,651
7,15+ min.,102,17.801047120418847,Goodrich School,651
8,0-5 min.,0,0,Vincent High School,1387
8,5-10 min.,247,21.80052956751986,Vincent High School,1387
8,10-15 min.,206,18.181818181818183,Vincent High School,1387
8,15+ min.,680,60.01765225066195,Vincent High School,1387
9,0-5 min.,4,0.6700167504187605,Stuart School,806
9,5-10 min.,117,19.597989949748744,Stuart School,806
9,10-15 min.,135,22.613065326633166,Stuart School,806
9,15+ min.,341,57.11892797319933,Stuart School,806
10,0-5 min.,46,5.0884955752212395,Stuart School,1306
10,5-10 min.,198,21.902654867256636,Stuart School,1306
10,10-15 min.,258,28.539823008849556,Stuart School,1306
10,15+ min.,402,44.469026548672566,Stuart School,1306
11,0-5 min.,190,20.43010752688172,Milwaukee School of Sign Language School,1150
11,5-10 min.,715,76.88172043010752,Milwaukee School of Sign Language School,1150
11,10-15 min.,25,2.6881720430107525,Milwaukee School of Sign Language School,1150
11,15+ min.,0,0,Milwaukee School of Sign Language School,1150
12,0-5 min.,0,0,Milwaukee School of Sign Language School,959
12,5-10 min.,113,16.448326055312958,Milwaukee School of Sign Language School,959
12,10-15 min.,134,19.50509461426492,Milwaukee School of Sign Language School,959
12,15+ min.,440,64.04657933042213,Milwaukee School of Sign Language School,959
13,0-5 min.,49,11.63895486935867,Clara Barton School,570
13,5-10 min.,259,61.520190023752974,Clara Barton School,570
13,10-15 min.,93,22.090261282660332,Clara Barton School,570
13,15+ min.,20,4.750593824228028,Clara Barton School,570
14,0-5 min.,0,0,Thoreau School,1085
14,5-10 min.,363,36.01190476190476,Thoreau School,1085
14,10-15 min.,565,56.051587301587304,Thoreau School,1085
14,15+ min.,80,7.936507936507936,Thoreau School,1085
15,0-5 min.,10,1.9417475728155338,Thoreau School,834
15,5-10 min.,196,38.05825242718446,Thoreau School,834
15,10-15 min.,199,38.640776699029125,Thoreau School,834
15,15+ min.,110,21.35922330097087,Thoreau School,834
16,0-5 min.,7,0.5223880597014926,Green Tree Preparatory Academy,1510
16,5-10 min.,198,14.776119402985074,Green Tree Preparatory Academy,1510
16,10-15 min.,434,32.38805970149254,Green Tree Preparatory Academy,1510
16,15+ min.,701,52.3134328358209,Green Tree Preparatory Academy,1510
17,0-5 min.,0,0,Green Tree Preparatory Academy,682
17,5-10 min.,20,4.301075268817205,Green Tree Preparatory Academy,682
17,10-15 min.,72,15.483870967741936,Green Tree Preparatory Academy,682
17,15+ min.,373,80.21505376344086,Green Tree Preparatory Academy,682
18,0-5 min.,0,0,Milwaukee Police Safety Academy,934
18,5-10 min.,0,0,Milwaukee Police Safety Academy,934
18,10-15 min.,114,14.339622641509434,Milwaukee Police Safety Academy,934
18,15+ min.,681,85.66037735849056,Milwaukee Police Safety Academy,934
19,0-5 min.,0,0,Milwaukee Police Safety Academy,794
19,5-10 min.,13,1.8232819074333801,Milwaukee Police Safety Academy,794
19,10-15 min.,379,53.15568022440392,Milwaukee Police Safety Academy,794
19,15+ min.,321,45.02103786816269,Milwaukee Police Safety Academy,794
20,0-5 min.,97,10.010319917440661,Thurston Woods School,1103
20,5-10 min.,451,46.542827657378744,Thurston Woods School,1103
20,10-15 min.,382,39.42208462332301,Thurston Woods School,1103
20,15+ min.,39,4.024767801857585,Thurston Woods School,1103
21,0-5 min.,151,32.19616204690831,Thurston Woods School,506
21,5-10 min.,270,57.56929637526652,Thurston Woods School,506
21,10-15 min.,48,10.23454157782516,Thurston Woods School,506
21,15+ min.,0,0,Thurston Woods School,506
22,0-5 min.,0,0,New Beginnings,846
22,5-10 min.,276,36.26806833114323,New Beginnings,846
22,10-15 min.,360,47.306176084099874,New Beginnings,846
22,15+ min.,125,16.4257555847569,New Beginnings,846
23,0-5 min.,0,0,New Beginnings,656
23,5-10 min.,2,1.1111111111111112,New Beginnings,656
23,10-15 min.,0,0,New Beginnings,656
23,15+ min.,178,98.88888888888889,New Beginnings,656
24,0-5 min.,0,0,Kluge School,350
24,5-10 min.,14,3.3333333333333335,Kluge School,350
24,10-15 min.,272,64.76190476190476,Kluge School,350
24,15+ min.,134,31.9047619047619,Kluge School,350
25,0-5 min.,147,18.421052631578945,Kluge School,799
25,5-10 min.,453,56.766917293233085,Kluge School,799
25,10-15 min.,198,24.81203007518797,Kluge School,799
25,15+ min.,0,0,Kluge School,799
26,0-5 min.,0,0,Kluge School,463
26,5-10 min.,230,56.372549019607845,Kluge School,463
26,10-15 min.,130,31.862745098039213,Kluge School,463
26,15+ min.,48,11.76470588235294,Kluge School,463
27,0-5 min.,19,3.5381750465549344,Madison High School,712
27,5-10 min.,309,57.54189944134078,Madison High School,712
27,10-15 min.,190,35.38175046554935,Madison High School,712
27,15+ min.,19,3.5381750465549344,Madison High School,712
28,0-5 min.,0,0,Madison High School,547
28,5-10 min.,0,0,Madison High School,547
28,10-15 min.,162,27.882960413080895,Madison High School,547
28,15+ min.,419,72.1170395869191,Madison High School,547
29,0-5 min.,0,0,Madison High School,741
29,5-10 min.,0,0,Madison High School,741
29,10-15 min.,105,17.045454545454543,Madison High School,741
29,15+ min.,511,82.95454545454545,Madison High School,741
30,0-5 min.,68,10.59190031152648,Bryant School,662
30,5-10 min.,375,58.41121495327103,Bryant School,662
30,10-15 min.,120,18.69158878504673,Bryant School,662
30,15+ min.,79,12.305295950155763,Bryant School,662
31,0-5 min.,0,0,Bryant School,839
31,5-10 min.,68,7.916181606519208,Bryant School,839
31,10-15 min.,488,56.810244470314316,Bryant School,839
31,15+ min.,303,35.273573923166474,Bryant School,839
32,0-5 min.,0,0,Maple Tree School,1046
32,5-10 min.,44,5.0113895216400905,Maple Tree School,1046
32,10-15 min.,234,26.65148063781321,Maple Tree School,1046
32,15+ min.,600,68.3371298405467,Maple Tree School,1046
33,0-5 min.,21,1.416048550236008,River Trail School,2212
33,5-10 min.,225,15.171948752528658,River Trail School,2212
33,10-15 min.,343,23.12879298718813,River Trail School,2212
33,15+ min.,894,60.2832097100472,River Trail School,2212
34,0-5 min.,0,0,Parkview School,597
34,5-10 min.,0,0,Parkview School,597
34,10-15 min.,367,45.42079207920792,Parkview School,597
34,15+ min.,441,54.579207920792086,Parkview School,597
35,0-5 min.,51,3.9110429447852764,Parkview School,1549
35,5-10 min.,397,30.44478527607362,Parkview School,1549
35,10-15 min.,672,51.533742331288344,Parkview School,1549
35,15+ min.,184,14.11042944785276,Parkview School,1549
36,0-5 min.,73,10.38406827880512,Engelburg School,851
36,5-10 min.,391,55.618776671408256,Engelburg School,851
36,10-15 min.,98,13.940256045519202,Engelburg School,851
36,15+ min.,141,20.056899004267425,Engelburg School,851
37,0-5 min.,0,0,Engelburg School,878
37,5-10 min.,276,26.26070409134158,Engelburg School,878
37,10-15 min.,428,40.72312083729781,Engelburg School,878
37,15+ min.,347,33.01617507136061,Engelburg School,878
38,0-5 min.,49,7.814992025518341,Engelburg School,597
38,5-10 min.,267,42.58373205741627,Engelburg School,597
38,10-15 min.,301,48.006379585326954,Engelburg School,597
38,15+ min.,10,1.5948963317384368,Engelburg School,597
39,0-5 min.,56,8.98876404494382,Grantosa Drive School,823
39,5-10 min.,387,62.11878009630819,Grantosa Drive School,823
39,10-15 min.,180,28.892455858747994,Grantosa Drive School,823
39,15+ min.,0,0,Grantosa Drive School,823
40,0-5 min.,153,22.666666666666664,Seventy-Six Street Building,753
40,5-10 min.,247,36.592592592592595,Seventy-Six Street Building,753
40,10-15 min.,275,40.74074074074074,Seventy-Six Street Building,753
40,15+ min.,0,0,Seventy-Six Street Building,753
41,0-5 min.,84,11.38211382113821,Lancaster School,1004
41,5-10 min.,349,47.289972899729,Lancaster School,1004
41,10-15 min.,234,31.70731707317073,Lancaster School,1004
41,15+ min.,71,9.620596205962059,Lancaster School,1004
42,0-5 min.,79,8.690869086908691,Byron Kilbourn School,1166
42,5-10 min.,446,49.064906490649065,Byron Kilbourn School,1166
42,10-15 min.,343,37.733773377337734,Byron Kilbourn School,1166
42,15+ min.,41,4.51045104510451,Byron Kilbourn School,1166
43,0-5 min.,5,0.700280112044818,Lancaster School,1065
43,5-10 min.,318,44.537815126050425,Lancaster School,1065
43,10-15 min.,271,37.95518207282913,Lancaster School,1065
43,15+ min.,120,16.80672268907563,Lancaster School,1065
44,0-5 min.,183,20.515695067264573,Silver Spring Neighborhood Center,1030
44,5-10 min.,413,46.300448430493276,Silver Spring Neighborhood Center,1030
44,10-15 min.,285,31.950672645739907,Silver Spring Neighborhood Center,1030
44,15+ min.,11,1.2331838565022422,Silver Spring Neighborhood Center,1030
45,0-5 min.,66,8.138101109741061,Hampton School,1019
